timestamp,value
"Sunday, January 1, 1956",284
"Sunday, April 1, 1956",213
"Sunday, July 1, 1956",227
"Monday, October 1, 1956",308
"Tuesday, January 1, 1957",262
"Monday, April 1, 1957",228
"Monday, July 1, 1957",236
"Tuesday, October 1, 1957",320
"Wednesday, January 1, 1958",272
"Tuesday, April 1, 1958",233
"Tuesday, July 1, 1958",237
"Wednesday, October 1, 1958",313
"Thursday, January 1, 1959",261
"Wednesday, April 1, 1959",227
"Wednesday, July 1, 1959",250
"Thursday, October 1, 1959",314
"Friday, January 1, 1960",286
"Friday, April 1, 1960",227
"Friday, July 1, 1960",260
"Saturday, October 1, 1960",311
"Sunday, January 1, 1961",295
"Saturday, April 1, 1961",233
"Saturday, July 1, 1961",257
"Sunday, October 1, 1961",339
"Monday, January 1, 1962",279
"Sunday, April 1, 1962",250
"Sunday, July 1, 1962",270
"Monday, October 1, 1962",346
"Tuesday, January 1, 1963",294
"Monday, April 1, 1963",255
"Monday, July 1, 1963",278
"Tuesday, October 1, 1963",363
"Wednesday, January 1, 1964",313
"Wednesday, April 1, 1964",273
"Wednesday, July 1, 1964",300
"Thursday, October 1, 1964",370
"Friday, January 1, 1965",331
"Thursday, April 1, 1965",288
"Thursday, July 1, 1965",306
"Friday, October 1, 1965",386
"Saturday, January 1, 1966",335
"Friday, April 1, 1966",288
"Friday, July 1, 1966",308
"Saturday, October 1, 1966",402
"Sunday, January 1, 1967",353
"Saturday, April 1, 1967",316
"Saturday, July 1, 1967",325
"Sunday, October 1, 1967",405
"Monday, January 1, 1968",393
"Monday, April 1, 1968",319
"Monday, July 1, 1968",327
"Tuesday, October 1, 1968",442
"Wednesday, January 1, 1969",383
"Tuesday, April 1, 1969",332
"Tuesday, July 1, 1969",361
"Wednesday, October 1, 1969",446
"Thursday, January 1, 1970",387
"Wednesday, April 1, 1970",357
"Wednesday, July 1, 1970",374
"Thursday, October 1, 1970",466
"Friday, January 1, 1971",410
"Thursday, April 1, 1971",370
"Thursday, July 1, 1971",379
"Friday, October 1, 1971",487
"Saturday, January 1, 1972",419
"Saturday, April 1, 1972",378
"Saturday, July 1, 1972",393
"Sunday, October 1, 1972",506
"Monday, January 1, 1973",458
"Sunday, April 1, 1973",387
"Sunday, July 1, 1973",427
"Monday, October 1, 1973",565
"Tuesday, January 1, 1974",465
"Monday, April 1, 1974",445
"Monday, July 1, 1974",450
"Tuesday, October 1, 1974",556
"Wednesday, January 1, 1975",500
"Tuesday, April 1, 1975",452
"Tuesday, July 1, 1975",435
"Wednesday, October 1, 1975",554
"Thursday, January 1, 1976",510
"Thursday, April 1, 1976",433
"Thursday, July 1, 1976",453
"Friday, October 1, 1976",548
"Saturday, January 1, 1977",486
"Friday, April 1, 1977",453
"Friday, July 1, 1977",457
"Saturday, October 1, 1977",566
"Sunday, January 1, 1978",515
"Saturday, April 1, 1978",464
"Saturday, July 1, 1978",431
"Sunday, October 1, 1978",588
"Monday, January 1, 1979",503
"Sunday, April 1, 1979",443
"Sunday, July 1, 1979",448
"Monday, October 1, 1979",555
"Tuesday, January 1, 1980",513
"Tuesday, April 1, 1980",427
"Tuesday, July 1, 1980",473
"Wednesday, October 1, 1980",526
"Thursday, January 1, 1981",548
"Wednesday, April 1, 1981",440
"Wednesday, July 1, 1981",469
"Thursday, October 1, 1981",575
"Friday, January 1, 1982",493
"Thursday, April 1, 1982",433
"Thursday, July 1, 1982",480
"Friday, October 1, 1982",576
"Saturday, January 1, 1983",475
"Friday, April 1, 1983",405
"Friday, July 1, 1983",435
"Saturday, October 1, 1983",535
"Sunday, January 1, 1984",453
"Sunday, April 1, 1984",430
"Sunday, July 1, 1984",417
"Monday, October 1, 1984",552
"Tuesday, January 1, 1985",464
"Monday, April 1, 1985",417
"Monday, July 1, 1985",423
"Tuesday, October 1, 1985",554
"Wednesday, January 1, 1986",459
"Tuesday, April 1, 1986",428
"Tuesday, July 1, 1986",429
"Wednesday, October 1, 1986",534
"Thursday, January 1, 1987",481
"Wednesday, April 1, 1987",416
"Wednesday, July 1, 1987",440
"Thursday, October 1, 1987",538
"Friday, January 1, 1988",474
"Friday, April 1, 1988",440
"Friday, July 1, 1988",447
"Saturday, October 1, 1988",598
"Sunday, January 1, 1989",467
"Saturday, April 1, 1989",439
"Saturday, July 1, 1989",446
"Sunday, October 1, 1989",567
"Monday, January 1, 1990",485
"Sunday, April 1, 1990",441
"Sunday, July 1, 1990",429
"Monday, October 1, 1990",599
"Tuesday, January 1, 1991",464
"Monday, April 1, 1991",424
"Monday, July 1, 1991",436
"Tuesday, October 1, 1991",574
"Wednesday, January 1, 1992",443
"Wednesday, April 1, 1992",410
"Wednesday, July 1, 1992",420
"Thursday, October 1, 1992",532
"Friday, January 1, 1993",433
"Thursday, April 1, 1993",421
"Thursday, July 1, 1993",410
"Friday, October 1, 1993",512
"Saturday, January 1, 1994",449
"Friday, April 1, 1994",381
"Friday, July 1, 1994",423
"Saturday, October 1, 1994",531
"Sunday, January 1, 1995",426
"Saturday, April 1, 1995",408
"Saturday, July 1, 1995",416
"Sunday, October 1, 1995",520
"Monday, January 1, 1996",409
"Monday, April 1, 1996",398
"Monday, July 1, 1996",398
"Tuesday, October 1, 1996",507
"Wednesday, January 1, 1997",432
"Tuesday, April 1, 1997",398
"Tuesday, July 1, 1997",406
"Wednesday, October 1, 1997",526
"Thursday, January 1, 1998",428
"Wednesday, April 1, 1998",397
"Wednesday, July 1, 1998",403
"Thursday, October 1, 1998",517
"Friday, January 1, 1999",435
"Thursday, April 1, 1999",383
"Thursday, July 1, 1999",424
"Friday, October 1, 1999",521
"Saturday, January 1, 2000",421
"Saturday, April 1, 2000",402
"Saturday, July 1, 2000",414
"Sunday, October 1, 2000",500
"Monday, January 1, 2001",451
"Sunday, April 1, 2001",380
"Sunday, July 1, 2001",416
"Monday, October 1, 2001",492
"Tuesday, January 1, 2002",428
"Monday, April 1, 2002",408
"Monday, July 1, 2002",406
"Tuesday, October 1, 2002",506
"Wednesday, January 1, 2003",435
"Tuesday, April 1, 2003",380
"Tuesday, July 1, 2003",421
"Wednesday, October 1, 2003",490
"Thursday, January 1, 2004",435
"Thursday, April 1, 2004",390
"Thursday, July 1, 2004",412
"Friday, October 1, 2004",454
"Saturday, January 1, 2005",416
"Friday, April 1, 2005",403
"Friday, July 1, 2005",408
"Saturday, October 1, 2005",482
"Sunday, January 1, 2006",438
"Saturday, April 1, 2006",386
"Saturday, July 1, 2006",405
"Sunday, October 1, 2006",491
"Monday, January 1, 2007",427
"Sunday, April 1, 2007",383
"Sunday, July 1, 2007",394
"Monday, October 1, 2007",473
"Tuesday, January 1, 2008",420
"Tuesday, April 1, 2008",390
"Tuesday, July 1, 2008",410
"Wednesday, October 1, 2008",488
"Thursday, January 1, 2009",415
"Wednesday, April 1, 2009",398
"Wednesday, July 1, 2009",419
"Thursday, October 1, 2009",488
"Friday, January 1, 2010",414
"Thursday, April 1, 2010",374